YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV2_AIRPORT,DIV2_AIRPORT_ID,DIV2_TOTAL_GTIME,DIV2_LONGEST_GTIME
2017,2,4,1,6,4/1/2017,DL,971,MSP,DTW,1008,1018,10,0,1249,1249,0,0,0,0,,0,101,91,69,528,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,976,BDL,MSP,1448,1438,-10,0,1659,1640,-19,0,0,0,,0,191,182,168,1050,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,976,MSP,BDL,1010,1013,3,0,1343,1333,-10,0,0,0,,0,153,140,127,1050,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,987,ATL,MSP,1050,1046,-4,0,1230,1207,-23,0,0,0,,0,160,141,128,907,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,988,MSP,ORD,1515,1513,-2,0,1646,1632,-14,0,0,0,,0,91,79,50,334,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,988,ORD,MSP,1729,1722,-7,0,1912,1833,-39,0,0,0,,0,103,71,57,334,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,994,RDU,MSP,1330,1325,-5,0,1525,1516,-9,0,0,0,,0,175,171,147,980,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1055,DTW,MSP,2005,2022,17,1,2102,2058,-4,0,0,0,,0,117,96,82,528,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1057,MSP,BIS,1740,1738,-2,0,1912,1849,-23,0,0,0,,0,92,71,59,386,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1069,MSP,BIS,2205,2154,-11,0,2326,2313,-13,0,0,0,,0,81,79,62,386,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1078,MSP,MCO,2015,2033,18,1,30,45,15,15,1,0,,0,195,192,164,1310,15,0,0,0,0,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1088,ANC,MSP,2150,2145,-5,0,611,612,1,1,0,0,,0,321,327,293,2519,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1088,MSP,ANC,1740,1736,-4,0,2044,2029,-15,0,0,0,,0,364,353,323,2519,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1101,MSP,BWI,2020,2014,-6,0,2348,2334,-14,0,0,0,,0,148,140,113,936,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1103,FLL,MSP,1545,1540,-5,0,1847,1830,-17,0,0,0,,0,242,230,209,1487,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1103,MSP,FLL,1005,1001,-4,0,1436,1420,-16,0,0,0,,0,211,199,180,1487,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1122,MSP,ATL,740,736,-4,0,1111,1053,-18,0,0,0,,0,151,137,114,907,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1130,ATL,MSP,2220,2218,-2,0,2357,2341,-16,0,0,0,,0,157,143,125,907,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1139,BIL,MSP,600,555,-5,0,857,905,8,8,0,0,,0,117,130,96,748,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1151,MSP,SFO,1155,1335,100,1,1407,1518,71,71,1,0,,0,252,223,198,1589,0,0,71,0,0,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1151,SFO,MSP,1510,1602,52,1,2057,2140,43,43,1,0,,0,227,218,199,1589,3,0,0,0,40,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1188,FAR,MSP,508,502,-6,0,617,555,-22,0,0,0,,0,69,53,38,223,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1194,MSP,SAN,1425,1456,31,1,1615,1615,0,0,0,0,,0,230,199,186,1532,,,,,,1435,15,15,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1203,BZN,MSP,540,534,-6,0,903,849,-14,0,0,0,,0,143,135,111,874,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1210,CVG,MSP,1615,1627,12,0,1720,1711,-9,0,0,0,,0,125,104,93,596,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1220,MSP,OMA,1525,1521,-4,0,1635,1624,-11,0,0,0,,0,70,63,44,282,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1220,OMA,MSP,1720,1715,-5,0,1844,1813,-31,0,0,0,,0,84,58,44,282,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1225,MSP,SEA,1755,1754,-1,0,1948,1925,-23,0,0,0,,0,233,211,193,1399,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1231,BZN,MSP,1340,1452,72,1,1658,1801,63,63,1,0,,0,138,129,110,874,4,0,0,0,59,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1231,MSP,BZN,1125,1248,83,1,1250,1408,78,78,1,0,,0,145,140,128,874,78,0,0,0,0,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1246,MSP,MKE,2015,2015,0,0,2132,2125,-7,0,0,0,,0,77,70,46,297,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1280,SLC,MSP,950,1000,10,0,1322,1332,10,10,0,0,,0,152,152,132,991,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1291,MKE,MSP,635,634,-1,0,758,737,-21,0,0,0,,0,83,63,50,297,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1310,MSP,JFK,1000,958,-2,0,1345,1321,-24,0,0,0,,0,165,143,129,1029,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1318,MSP,GRB,2020,2009,-11,0,2131,2117,-14,0,0,0,,0,71,68,44,252,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1319,MSP,ORD,700,705,5,0,829,828,-1,0,0,0,,0,89,83,51,334,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1322,MSP,SEA,1945,1955,10,0,2136,2133,-3,0,0,0,,0,231,218,199,1399,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1332,MSP,LAX,1428,1424,-4,0,1626,1555,-31,0,0,0,,0,238,211,192,1535,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1335,LAX,MSP,730,729,-1,0,1309,1317,8,8,0,0,,0,219,228,200,1535,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1344,LAX,MSP,35,100,25,1,616,632,16,16,1,0,,0,221,212,194,1535,0,0,16,0,0,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1348,BWI,MSP,625,623,-2,0,808,802,-6,0,0,0,,0,163,159,140,936,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1356,ALB,MSP,615,603,-12,0,806,823,17,17,1,0,,0,171,200,142,980,0,0,17,0,0,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1358,MSP,LAX,938,937,-1,0,1130,1114,-16,0,0,0,,0,232,217,185,1535,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1368,DCA,MSP,625,622,-3,0,809,800,-9,0,0,0,,0,164,158,136,931,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1377,SNA,MSP,1230,1303,33,1,1808,1847,39,39,1,0,,0,218,224,207,1522,0,0,6,0,33,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1385,MCI,MSP,640,636,-4,0,801,747,-14,0,0,0,,0,81,71,57,393,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1399,OMA,MSP,645,638,-7,0,801,744,-17,0,0,0,,0,76,66,47,282,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1411,MSP,PDX,1800,1756,-4,0,1944,1935,-9,0,0,0,,0,224,219,198,1426,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1415,MSP,ORD,2026,2022,-4,0,2153,2132,-21,0,0,0,,0,87,70,52,334,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1421,AUS,MSP,1600,1554,-6,0,1841,1819,-22,0,0,0,,0,161,145,128,1042,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1438,LAX,MSP,1530,1541,11,0,2108,2117,9,9,0,0,,0,218,216,198,1535,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1441,DEN,MSP,1607,1602,-5,0,1910,1843,-27,0,0,0,,0,123,101,91,680,,,,,,,,,0,,,,,,,,,,,,
